mean_hx	mean_hy	mean_theta_x	mean_theta_y	corrtime_M	corr	MI	mean_E	mean_mx	mean_my	std_mx	std_my	H	T
0.100000	0.001887	0.040000	-0.038462			0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	532.654783	0.781232	0.722434	-0.040483	0.541799	0.517006	0.031023	0.032339	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	268.658377	0.781258	0.722964	-0.040482	0.541767	0.517006	0.031048	0.032339	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	165.497692	0.781365	0.723615	-0.040483	0.541759	0.516986	0.031030	0.032341	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	122.346999	0.781796	0.724151	-0.040483	0.541773	0.516970	0.031028	0.032358	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	96.622204	0.781411	0.723292	-0.040482	0.541764	0.516957	0.031041	0.032371	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	77.730189	0.781444	0.723564	-0.040483	0.541780	0.516939	0.031043	0.032328	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	68.779322	0.781016	0.722633	-0.040482	0.541769	0.516961	0.031037	0.032342	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	63.526890	0.781084	0.722377	-0.040483	0.541790	0.516954	0.031031	0.032331	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	52.539032	0.781086	0.723049	-0.040483	0.541798	0.516956	0.031041	0.032313	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	46.690121	0.781586	0.724413	-0.040483	0.541758	0.516955	0.031020	0.032321	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	45.372511	0.781197	0.723156	-0.040483	0.541738	0.516972	0.031002	0.032330	0.100001	0.000000
0.100000	0.001856	0.039988	-0.038450	41.886566	0.781876	0.725277	-0.040484	0.541733	0.516983	0.031006	0.032310	0.099970	0.000000
