mean_X	mean_Y	mean_hx	mean_hy	mean_theta_x	mean_theta_y	corr	MI	mean_E	mean_mx	mean_my	std_mx	std_my	H	T
379.000000	379.000000	0.050000	0.050000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.100000	0.000000
578.103419	578.341227	0.050000	0.050000	0.000000	0.000000	0.784626	0.613414	-0.038508	0.525339	0.525966	0.051906	0.052394	0.100000	0.000000
578.194644	578.348400	0.050000	0.050000	0.000000	0.000000	0.786748	0.620341	-0.038512	0.525580	0.525985	0.051879	0.052503	0.100000	0.000000
578.527896	578.369085	0.050000	0.050000	0.000000	0.000000	0.787938	0.601275	-0.038519	0.526459	0.526040	0.051850	0.052398	0.100000	0.000000
578.724581	578.466924	0.050000	0.050000	0.000000	0.000000	0.795731	0.617035	-0.038544	0.526978	0.526298	0.052069	0.051959	0.100000	0.000000
578.723573	578.465173	0.050000	0.050000	0.000000	0.000000	0.797828	0.635823	-0.038561	0.526975	0.526293	0.051933	0.051685	0.100000	0.000000
578.568900	578.409314	0.050000	0.050000	0.000000	0.000000	0.795602	0.627136	-0.038535	0.526567	0.526146	0.052273	0.052134	0.100000	0.000000
578.486377	578.363314	0.050000	0.050000	0.000000	0.000000	0.790857	0.631934	-0.038518	0.526349	0.526025	0.052517	0.052123	0.100000	0.000000
578.547921	578.416429	0.050000	0.050000	0.000000	0.000000	0.788061	0.623424	-0.038522	0.526512	0.526165	0.052517	0.051688	0.100000	0.000000
578.477078	578.535699	0.050000	0.050000	0.000000	0.000000	0.789466	0.624556	-0.038514	0.526325	0.526479	0.052348	0.052323	0.100000	0.000000
578.390537	578.487074	0.050000	0.050000	0.000000	0.000000	0.788757	0.619680	-0.038507	0.526096	0.526351	0.052139	0.052707	0.100000	0.000000
578.558096	578.387103	0.050000	0.050000	0.000000	0.000000	0.785050	0.615937	-0.038484	0.526539	0.526087	0.052478	0.052908	0.100000	0.000000
578.631891	578.284514	0.050000	0.050000	0.000000	0.000000	0.791799	0.629871	-0.038533	0.526733	0.525817	0.051984	0.052105	0.100000	0.000000
578.663168	578.274032	0.050000	0.050000	0.000000	0.000000	0.786469	0.607494	-0.038518	0.526816	0.525789	0.052183	0.051950	0.100000	0.000000
578.637354	578.400786	0.050000	0.050000	0.000000	0.000000	0.785076	0.604783	-0.038507	0.526748	0.526123	0.052608	0.051774	0.100000	0.000000
578.578470	578.399268	0.050000	0.050000	0.000000	0.000000	0.789088	0.615683	-0.038518	0.526592	0.526119	0.052603	0.051812	0.100000	0.000000
578.672755	578.615670	0.050000	0.050000	0.000000	0.000000	0.797753	0.616133	-0.038518	0.526841	0.526690	0.053143	0.052180	0.100000	0.000000
578.474148	578.805434	0.050000	0.050000	0.000000	0.000000	0.794430	0.615412	-0.038511	0.526317	0.527191	0.052844	0.052334	0.100000	0.000000
578.565400	578.723522	0.050000	0.050000	0.000000	0.000000	0.790771	0.609909	-0.038504	0.526558	0.526975	0.053240	0.051814	0.100000	0.000000
578.493985	578.823163	0.050000	0.050000	0.000000	0.000000	0.793967	0.629233	-0.038512	0.526369	0.527238	0.053028	0.052066	0.100000	0.000000
578.626342	578.794655	0.050000	0.050000	0.000000	0.000000	0.791564	0.653528	-0.038511	0.526719	0.527163	0.052906	0.051942	0.100000	0.000000
578.672270	578.560539	0.050000	0.050000	0.000000	0.000000	0.789511	0.653381	-0.038518	0.526840	0.526545	0.052525	0.051855	0.100000	0.000000
578.448976	578.693865	0.050000	0.050000	0.000000	0.000000	0.791553	0.646147	-0.038535	0.526251	0.526897	0.052011	0.051906	0.100000	0.000000
578.491095	578.623008	0.050000	0.050000	0.000000	0.000000	0.785162	0.620623	-0.038527	0.526362	0.526710	0.051919	0.051654	0.100000	0.000000
578.481033	578.804009	0.050000	0.050000	0.000000	0.000000	0.788304	0.638444	-0.038540	0.526335	0.527187	0.051555	0.051801	0.100000	0.000000
578.394536	578.931982	0.050000	0.050000	0.000000	0.000000	0.781663	0.604045	-0.038534	0.526107	0.527525	0.051482	0.051374	0.100000	0.000000
