mean_X	mean_Y	mean_hx	mean_hy	mean_theta_x	mean_theta_y	corr	MI	mean_E	mean_mx	mean_my	std_mx	std_my	H	T
379.000000	379.000000	-0.050000	-0.050000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.100000	0.000000
179.117000	179.221186	-0.050000	-0.050000	0.000000	0.000000	0.785409	0.620745	-0.038521	-0.527396	-0.527121	0.052392	0.051485	-0.100000	0.000000
179.036332	178.904886	-0.050000	-0.050000	0.000000	0.000000	0.789079	0.605713	-0.038533	-0.527609	-0.527955	0.052190	0.051677	-0.100000	0.000000
179.108840	178.815524	-0.050000	-0.050000	0.000000	0.000000	0.787510	0.608389	-0.038538	-0.527417	-0.528191	0.051767	0.051776	-0.100000	0.000000
179.022974	178.920478	-0.050000	-0.050000	0.000000	0.000000	0.786783	0.604437	-0.038521	-0.527644	-0.527914	0.052179	0.051956	-0.100000	0.000000
179.007262	178.855153	-0.050000	-0.050000	0.000000	0.000000	0.790955	0.618624	-0.038519	-0.527685	-0.528087	0.052215	0.052445	-0.100000	0.000000
178.939187	178.897755	-0.050000	-0.050000	0.000000	0.000000	0.788238	0.613672	-0.038518	-0.527865	-0.527974	0.052250	0.052126	-0.100000	0.000000
178.873082	178.871268	-0.050000	-0.050000	0.000000	0.000000	0.793375	0.619666	-0.038514	-0.528039	-0.528044	0.052795	0.052306	-0.100000	0.000000
179.033314	178.829160	-0.050000	-0.050000	0.000000	0.000000	0.790867	0.611424	-0.038516	-0.527617	-0.528155	0.052333	0.052355	-0.100000	0.000000
179.079448	178.835999	-0.050000	-0.050000	0.000000	0.000000	0.791879	0.622744	-0.038514	-0.527495	-0.528137	0.052208	0.052708	-0.100000	0.000000
179.041110	178.717174	-0.050000	-0.050000	0.000000	0.000000	0.798278	0.625701	-0.038525	-0.527596	-0.528451	0.052335	0.052804	-0.100000	0.000000
178.991477	178.716977	-0.050000	-0.050000	0.000000	0.000000	0.790863	0.619417	-0.038505	-0.527727	-0.528451	0.052585	0.052542	-0.100000	0.000000
178.792178	178.716637	-0.050000	-0.050000	0.000000	0.000000	0.785146	0.596069	-0.038510	-0.528253	-0.528452	0.051924	0.052414	-0.100000	0.000000
178.947980	178.626892	-0.050000	-0.050000	0.000000	0.000000	0.792379	0.616375	-0.038532	-0.527842	-0.528689	0.051924	0.052251	-0.100000	0.000000
179.022139	178.779683	-0.050000	-0.050000	0.000000	0.000000	0.793136	0.620076	-0.038532	-0.527646	-0.528286	0.051792	0.052527	-0.100000	0.000000
179.069157	178.804859	-0.050000	-0.050000	0.000000	0.000000	0.795934	0.626956	-0.038554	-0.527522	-0.528219	0.051506	0.052293	-0.100000	0.000000
178.868801	178.832666	-0.050000	-0.050000	0.000000	0.000000	0.790935	0.608095	-0.038547	-0.528051	-0.528146	0.051320	0.052140	-0.100000	0.000000
178.867127	178.760418	-0.050000	-0.050000	0.000000	0.000000	0.784643	0.599600	-0.038517	-0.528055	-0.528337	0.051617	0.052384	-0.100000	0.000000
178.931217	178.702893	-0.050000	-0.050000	0.000000	0.000000	0.785431	0.588571	-0.038513	-0.527886	-0.528488	0.052153	0.052163	-0.100000	0.000000
178.907398	178.794058	-0.050000	-0.050000	0.000000	0.000000	0.784716	0.586522	-0.038504	-0.527949	-0.528248	0.052033	0.052588	-0.100000	0.000000
178.758092	178.613186	-0.050000	-0.050000	0.000000	0.000000	0.785070	0.576584	-0.038507	-0.528343	-0.528725	0.052141	0.052414	-0.100000	0.000000
178.719678	178.543759	-0.050000	-0.050000	0.000000	0.000000	0.782980	0.582260	-0.038510	-0.528444	-0.528908	0.051720	0.052515	-0.100000	0.000000
178.552532	178.737982	-0.050000	-0.050000	0.000000	0.000000	0.787216	0.603668	-0.038535	-0.528885	-0.528396	0.051336	0.052359	-0.100000	0.000000
178.758310	178.768314	-0.050000	-0.050000	0.000000	0.000000	0.790297	0.620364	-0.038543	-0.528342	-0.528316	0.051399	0.052304	-0.100000	0.000000
178.757023	178.849494	-0.050000	-0.050000	0.000000	0.000000	0.788495	0.604229	-0.038530	-0.528346	-0.528102	0.051602	0.052411	-0.100000	0.000000
178.756245	179.149548	-0.050000	-0.050000	0.000000	0.000000	0.778038	0.589941	-0.038500	-0.528348	-0.527310	0.051806	0.052273	-0.100000	0.000000
178.795642	179.183825	-0.050000	-0.050000	0.000000	0.000000	0.780432	0.589103	-0.038478	-0.528244	-0.527219	0.052585	0.052575	-0.100000	0.000000
178.970345	179.214428	-0.050000	-0.050000	0.000000	0.000000	0.779288	0.573612	-0.038484	-0.527783	-0.527139	0.052386	0.052431	-0.100000	0.000000
178.998211	178.962572	-0.050000	-0.050000	0.000000	0.000000	0.778850	0.576899	-0.038481	-0.527709	-0.527803	0.052357	0.052533	-0.100000	0.000000
179.107250	178.829172	-0.050000	-0.050000	0.000000	0.000000	0.784208	0.590326	-0.038500	-0.527422	-0.528155	0.052405	0.052348	-0.100000	0.000000
178.944653	178.722766	-0.050000	-0.050000	0.000000	0.000000	0.789781	0.618679	-0.038516	-0.527851	-0.528436	0.052396	0.052217	-0.100000	0.000000
178.782046	178.838500	-0.050000	-0.050000	0.000000	0.000000	0.795529	0.630337	-0.038537	-0.528280	-0.528131	0.051989	0.052440	-0.100000	0.000000
178.988282	178.879311	-0.050000	-0.050000	0.000000	0.000000	0.791006	0.605997	-0.038520	-0.527735	-0.528023	0.051881	0.052726	-0.100000	0.000000
179.237821	178.684398	-0.050000	-0.050000	0.000000	0.000000	0.788149	0.604850	-0.038500	-0.527077	-0.528537	0.052167	0.052875	-0.100000	0.000000
179.039797	178.870926	-0.050000	-0.050000	0.000000	0.000000	0.790949	0.613006	-0.038500	-0.527599	-0.528045	0.052263	0.053122	-0.100000	0.000000
179.278496	179.147507	-0.050000	-0.050000	0.000000	0.000000	0.782061	0.582778	-0.038489	-0.526970	-0.527315	0.052267	0.052604	-0.100000	0.000000
179.488598	179.244207	-0.050000	-0.050000	0.000000	0.000000	0.776113	0.593965	-0.038488	-0.526415	-0.527060	0.052032	0.052267	-0.100000	0.000000
179.677239	179.174064	-0.050000	-0.050000	0.000000	0.000000	0.780674	0.609540	-0.038481	-0.525918	-0.527245	0.052306	0.052629	-0.100000	0.000000
179.387974	179.240470	-0.050000	-0.050000	0.000000	0.000000	0.782852	0.617193	-0.038489	-0.526681	-0.527070	0.052089	0.052796	-0.100000	0.000000
179.298533	179.317442	-0.050000	-0.050000	0.000000	0.000000	0.782534	0.622118	-0.038495	-0.526917	-0.526867	0.051889	0.052759	-0.100000	0.000000
179.412533	179.576786	-0.050000	-0.050000	0.000000	0.000000	0.774541	0.590964	-0.038465	-0.526616	-0.526183	0.052026	0.052937	-0.100000	0.000000
179.501434	179.661733	-0.050000	-0.050000	0.000000	0.000000	0.776215	0.579915	-0.038466	-0.526381	-0.525958	0.052097	0.053007	-0.100000	0.000000
179.450541	179.736884	-0.050000	-0.050000	0.000000	0.000000	0.786163	0.621721	-0.038492	-0.526516	-0.525760	0.052119	0.052940	-0.100000	0.000000
