mean_hx	mean_hy	mean_theta_x	mean_theta_y	corr	MI	mean_mx	mean_my	t	H	T
0.100000	0.001887	0.040000	-0.038462	-0.001874	2.235748	-0.000266	0.000153	0.000000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.585316	0.443978	0.542539	0.517767	0.100000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.584960	0.442879	0.542896	0.518170	0.200000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.584845	0.443886	0.542914	0.518156	0.300000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.584759	0.443169	0.542877	0.518161	0.400000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.584810	0.443277	0.542839	0.518177	0.500000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.585038	0.444111	0.542905	0.518128	0.600000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.585593	0.444226	0.542876	0.518124	0.700000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586252	0.444477	0.542894	0.518133	0.800000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586549	0.444818	0.542872	0.518164	0.900000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586216	0.444121	0.542931	0.518127	1.000000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.585932	0.443917	0.542944	0.518100	1.100000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.585703	0.443948	0.542928	0.518124	1.200000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.585879	0.444284	0.542901	0.518122	1.300000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586616	0.445289	0.542897	0.518104	1.400000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586488	0.444903	0.542891	0.518116	1.500000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.585366	0.443520	0.542934	0.518066	1.600000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.585733	0.444252	0.542917	0.518059	1.700000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586203	0.444198	0.542901	0.518088	1.800000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586117	0.445891	0.542919	0.518096	1.900000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586856	0.445313	0.542936	0.518106	2.000000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586739	0.445386	0.542899	0.518121	2.100000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586788	0.445963	0.542919	0.518126	2.200000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586042	0.444715	0.542945	0.518123	2.300000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586183	0.443932	0.542947	0.518112	2.400000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586095	0.445096	0.542939	0.518107	2.500000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586716	0.445555	0.542967	0.518127	2.600000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586686	0.444968	0.542929	0.518135	2.700000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586684	0.446111	0.542905	0.518159	2.800000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586524	0.445841	0.542862	0.518191	2.900000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586937	0.446462	0.542861	0.518192	3.000000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.588091	0.447615	0.542889	0.518175	3.100000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.588134	0.446831	0.542916	0.518155	3.200000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.588500	0.447919	0.542959	0.518148	3.300000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.588442	0.447189	0.543006	0.518159	3.400000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.587828	0.446074	0.542985	0.518212	3.500000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.587532	0.446178	0.543008	0.518255	3.600000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.587273	0.445858	0.543023	0.518248	3.700000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.588052	0.446374	0.543034	0.518247	3.800000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.587954	0.446469	0.543045	0.518233	3.900000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.587542	0.445042	0.543061	0.518245	4.000000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.588153	0.446980	0.543021	0.518233	4.100000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.588761	0.447539	0.542986	0.518241	4.200000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.588296	0.446431	0.542973	0.518178	4.300000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.587595	0.447110	0.542986	0.518173	4.400000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.586701	0.445495	0.542940	0.518162	4.500000	0.100001	0.000000
0.100000	0.001887	0.040000	-0.038462	0.587402	0.445572	0.542931	0.518193	4.600000	0.100001	0.000000
